language,layer,direction,mean_attention,std_attention,median_attention
english,0,nsubj_to_root,0.06577596813440323,0.041807133704423904,0.05500694364309311
english,0,leftward,0.06677646934986115,0.0443095937371254,0.05662618204951286
english,1,nsubj_to_root,0.03594828397035599,0.03237403929233551,0.023182787001132965
english,1,leftward,0.04138435423374176,0.033330511301755905,0.029713889583945274
english,2,nsubj_to_root,0.07533441483974457,0.08485046029090881,0.024197345599532127
english,2,leftward,0.021165773272514343,0.017140444368124008,0.016264379024505615
english,3,nsubj_to_root,0.0486159473657608,0.0374886654317379,0.038357216864824295
english,3,leftward,0.04840082302689552,0.04087552800774574,0.03377087041735649
english,4,nsubj_to_root,0.0429014153778553,0.032966624945402145,0.03429876267910004
english,4,leftward,0.03722118213772774,0.02652127854526043,0.03173345327377319
english,5,nsubj_to_root,0.05987360328435898,0.05092780292034149,0.04458334296941757
english,5,leftward,0.033606790006160736,0.02722971886396408,0.027237460017204285
english,6,nsubj_to_root,0.031216328963637352,0.031123893335461617,0.01944427564740181
english,6,leftward,0.06870607286691666,0.05431831628084183,0.05614970624446869
english,7,nsubj_to_root,0.07467777281999588,0.060866449028253555,0.05936747044324875
english,7,leftward,0.05381343886256218,0.047513868659734726,0.039655935019254684
english,8,nsubj_to_root,0.03613915294408798,0.027617912739515305,0.029277151450514793
english,8,leftward,0.04735729098320007,0.0313265360891819,0.04151076823472977
english,9,nsubj_to_root,0.027624698355793953,0.02695794217288494,0.019017234444618225
english,9,leftward,0.035620808601379395,0.02845912240445614,0.027891842648386955
english,10,nsubj_to_root,0.01974830962717533,0.019183209165930748,0.013727294281125069
english,10,leftward,0.025095874443650246,0.02401726134121418,0.017169786617159843
english,11,nsubj_to_root,0.015780454501509666,0.011066876351833344,0.01318374928086996
english,11,leftward,0.012929659336805344,0.009378860704600811,0.010558046400547028
