language,layer,head,direction,correct,total,accuracy
turkish,3,9,nsubj_to_root,732,1190043,0.0006151038239794696
turkish,3,9,leftward,178117,1190043,0.1496727429176929
turkish,3,10,nsubj_to_root,11355,1190043,0.009541672023615954
turkish,3,10,leftward,13429,1190043,0.011284466191557783
turkish,3,11,nsubj_to_root,17162,1190043,0.014421327632698986
turkish,3,11,leftward,234446,1190043,0.19700632666214582
turkish,4,0,nsubj_to_root,2899,1190043,0.0024360464285744297
turkish,4,0,leftward,315105,1190043,0.26478454980198196
turkish,4,1,nsubj_to_root,249819,1190043,0.20992434727148515
turkish,4,1,leftward,281,1190043,0.00023612592150031554
turkish,4,2,nsubj_to_root,4303,1190043,0.0036158357303055434
turkish,4,2,leftward,7169,1190043,0.0060241520684546695
turkish,4,3,nsubj_to_root,26272,1190043,0.022076513201623807
turkish,4,3,leftward,147276,1190043,0.12375687265082018
turkish,4,4,nsubj_to_root,5282,1190043,0.004438495079589561
turkish,4,4,leftward,4096,1190043,0.003441892435819546
turkish,4,5,nsubj_to_root,78518,1190043,0.06597912848527322
turkish,4,5,leftward,37261,1190043,0.03131063331325003
turkish,4,6,nsubj_to_root,6933,1190043,0.005825839906625223
turkish,4,6,leftward,914,1190043,0.0007680394742038733
turkish,4,7,nsubj_to_root,257236,1190043,0.21615689517101483
turkish,4,7,leftward,0,1190043,0.0
turkish,4,8,nsubj_to_root,4235,1190043,0.003558694937914008
turkish,4,8,leftward,4720,1190043,0.00396624323658893
turkish,4,9,nsubj_to_root,3272,1190043,0.002749480480957411
turkish,4,9,leftward,260250,1190043,0.2186895767631926
turkish,4,10,nsubj_to_root,3132,1190043,0.0026318376730924847
turkish,4,10,leftward,5263,1190043,0.00442252926995075
turkish,4,11,nsubj_to_root,53,1190043,4.4536205834579085e-05
turkish,4,11,leftward,31,1190043,2.6049478884376446e-05
turkish,5,0,nsubj_to_root,407489,1190043,0.3424153581005056
turkish,5,0,leftward,32,1190043,2.6889784654840203e-05
turkish,5,1,nsubj_to_root,13511,1190043,0.011353371264735812
turkish,5,1,leftward,85484,1190043,0.07183269848232375
turkish,5,2,nsubj_to_root,746,1190043,0.0006268681047659622
turkish,5,2,leftward,9451,1190043,0.007941729836652962
turkish,5,3,nsubj_to_root,201,1190043,0.00016890145986321503
turkish,5,3,leftward,130,1190043,0.00010923975016028833
turkish,5,4,nsubj_to_root,31443,1190043,0.02642173434069189
turkish,5,4,leftward,48555,1190043,0.04080104668486769
turkish,5,5,nsubj_to_root,293141,1190043,0.246328073859516
turkish,5,5,leftward,26,1190043,2.1847950032057664e-05
turkish,5,6,nsubj_to_root,337487,1190043,0.28359227355650174
turkish,5,6,leftward,102419,1190043,0.08606327670512746
turkish,5,7,nsubj_to_root,3732,1190043,0.0031360211353707386
turkish,5,7,leftward,4804,1190043,0.004036828921307885
turkish,5,8,nsubj_to_root,48723,1190043,0.040942218054305604
turkish,5,8,leftward,260735,1190043,0.21909712506186751
turkish,5,9,nsubj_to_root,2991,1190043,0.0025133545594570954
turkish,5,9,leftward,337595,1190043,0.28368302657971184
turkish,5,10,nsubj_to_root,15528,1190043,0.013048268003761208
turkish,5,10,leftward,1175,1190043,0.0009873592802949137
turkish,5,11,nsubj_to_root,6698,1190043,0.00562836805056624
turkish,5,11,leftward,308346,1190043,0.2591049230994174
turkish,6,0,nsubj_to_root,421815,1190043,0.3544535785681694
turkish,6,0,leftward,56119,1190043,0.04715711953265554
turkish,6,1,nsubj_to_root,2602,1190043,0.002186475614746694
turkish,6,1,leftward,8367,1190043,0.00703083838147025
