language,layer,direction,mean_attention,std_attention,median_attention
german,0,nsubj_to_root,0.06347081065177917,0.04651831090450287,0.05048258230090141
german,0,leftward,0.06304852664470673,0.047706395387649536,0.050949305295944214
german,1,nsubj_to_root,0.051057446748018265,0.061492759734392166,0.02196868509054184
german,1,leftward,0.05423087999224663,0.06291941553354263,0.025332819670438766
german,2,nsubj_to_root,0.04457138851284981,0.046828463673591614,0.024802230298519135
german,2,leftward,0.03120998479425907,0.027681149542331696,0.022060446441173553
german,3,nsubj_to_root,0.049519848078489304,0.04087689518928528,0.036677286028862
german,3,leftward,0.04560095816850662,0.03514020889997482,0.036193206906318665
german,4,nsubj_to_root,0.037706829607486725,0.02960006520152092,0.02940790355205536
german,4,leftward,0.045342374593019485,0.036932505667209625,0.03419499844312668
german,5,nsubj_to_root,0.03648408502340317,0.03195789456367493,0.0262331273406744
german,5,leftward,0.03875776007771492,0.030024349689483643,0.030299916863441467
german,6,nsubj_to_root,0.04905898496508598,0.043724313378334045,0.034932807087898254
german,6,leftward,0.05280845984816551,0.05172090232372284,0.034767571836709976
german,7,nsubj_to_root,0.053017906844615936,0.06016978994011879,0.025084659457206726
german,7,leftward,0.049481745809316635,0.05768248811364174,0.022912612184882164
german,8,nsubj_to_root,0.03437230736017227,0.03697481378912926,0.02087215706706047
german,8,leftward,0.03162247687578201,0.033538978546857834,0.019260793924331665
german,9,nsubj_to_root,0.04298488795757294,0.04208088666200638,0.0288759283721447
german,9,leftward,0.04738909751176834,0.04038475826382637,0.03694707900285721
german,10,nsubj_to_root,0.038405321538448334,0.03689587116241455,0.027824878692626953
german,10,leftward,0.03165781870484352,0.030691398307681084,0.022355904802680016
german,11,nsubj_to_root,0.016269534826278687,0.01783425360918045,0.010730449110269547
german,11,leftward,0.021254871040582657,0.023401910439133644,0.013478502631187439
