language,layer,head,direction,correct,total,accuracy
russian,4,5,leftward,250,1374674,0.00018186129947900376
russian,4,6,nsubj_to_root,7646,1374674,0.0055620459832658505
russian,4,6,leftward,2575,1374674,0.0018731713846337386
russian,4,7,nsubj_to_root,6322,1374674,0.004598908541225047
russian,4,7,leftward,5334,1374674,0.003880192685684024
russian,4,8,nsubj_to_root,100824,1374674,0.07334393463468429
russian,4,8,leftward,480248,1374674,0.3493541014087704
russian,4,9,nsubj_to_root,71892,1374674,0.05229749016857815
russian,4,9,leftward,38172,1374674,0.027768038094850126
russian,4,10,nsubj_to_root,126036,1374674,0.09168428296454287
russian,4,10,leftward,464606,1374674,0.3379754036229681
russian,4,11,nsubj_to_root,3179,1374674,0.002312548284175012
russian,4,11,leftward,2697,1374674,0.0019619196987794925
russian,5,0,nsubj_to_root,38037,1374674,0.02766983299313146
russian,5,0,leftward,73373,1374674,0.05337483650669177
russian,5,1,nsubj_to_root,62955,1374674,0.04579631243480273
russian,5,1,leftward,141297,1374674,0.10278582412993917
russian,5,2,nsubj_to_root,363983,1374674,0.2647776854730649
russian,5,2,leftward,14190,1374674,0.010322447358428253
russian,5,3,nsubj_to_root,236545,1374674,0.17207352434104375
russian,5,3,leftward,2208,1374674,0.001606198996998561
russian,5,4,nsubj_to_root,46151,1374674,0.033572323329022005
russian,5,4,leftward,373774,1374674,0.2719001014058606
russian,5,5,nsubj_to_root,90195,1374674,0.06561191962603498
russian,5,5,leftward,411933,1374674,0.2996586827131378
russian,5,6,nsubj_to_root,235126,1374674,0.17104127960520094
russian,5,6,leftward,308372,1374674,0.2243237305717574
russian,5,7,nsubj_to_root,465386,1374674,0.33854281087734256
russian,5,7,leftward,4979,1374674,0.0036219496404238387
russian,5,8,nsubj_to_root,256721,1374674,0.1867504586541973
russian,5,8,leftward,67086,1374674,0.048801388547393784
russian,5,9,nsubj_to_root,27865,1374674,0.020270260439929758
russian,5,9,leftward,21522,1374674,0.015656075549548475
russian,5,10,nsubj_to_root,160867,1374674,0.11702192665315558
russian,5,10,leftward,541111,1374674,0.3936285984895328
russian,5,11,nsubj_to_root,54797,1374674,0.039861814510203875
russian,5,11,leftward,63019,1374674,0.045842868927469346
russian,6,0,nsubj_to_root,94739,1374674,0.06891743060536534
russian,6,0,leftward,50789,1374674,0.03694621415695649
russian,6,1,nsubj_to_root,16839,1374674,0.012249449687707777
russian,6,1,leftward,3342,1374674,0.002431121851435322
russian,6,2,nsubj_to_root,38698,1374674,0.02815067426895395
russian,6,2,leftward,105538,1374674,0.07677311129766039
russian,6,3,nsubj_to_root,167475,1374674,0.12182888452098461
russian,6,3,leftward,93278,1374674,0.06785463317121004
russian,6,4,nsubj_to_root,93711,1374674,0.06816961694190768
russian,6,4,leftward,416423,1374674,0.3029249116517807
russian,6,5,nsubj_to_root,111871,1374674,0.08138002173606251
russian,6,5,leftward,33555,1374674,0.024409423616071884
russian,6,6,nsubj_to_root,352120,1374674,0.2561480030901872
russian,6,6,leftward,17516,1374674,0.012741930086696919
russian,6,7,nsubj_to_root,113533,1374674,0.08258903565499894
russian,6,7,leftward,482885,1374674,0.3512723743956749
russian,6,8,nsubj_to_root,162347,1374674,0.11809854554607128
russian,6,8,leftward,136432,1374674,0.09924680324207776
russian,6,9,nsubj_to_root,333632,1374674,0.2426989962711159
russian,6,9,leftward,672,1374674,0.000488843172999562
russian,6,10,nsubj_to_root,119242,1374674,0.08674202028990147
russian,6,10,leftward,268867,1374674,0.1955860080280852
russian,6,11,nsubj_to_root,394844,1374674,0.28722737172595103
russian,6,11,leftward,8667,1374674,0.006304767530338102
russian,7,0,nsubj_to_root,5452,1374674,0.003966031219038114
russian,7,0,leftward,11830,1374674,0.008605676691346457
russian,7,1,nsubj_to_root,10397,1374674,0.007563247722732808
russian,7,1,leftward,73377,1374674,0.05337774628748343
russian,7,2,nsubj_to_root,184514,1374674,0.1342238232482756
russian,7,2,leftward,117672,1374674,0.08559993132917332
russian,7,3,nsubj_to_root,173306,1374674,0.1260706174700329
russian,7,3,leftward,319046,1374674,0.23208848061431292
russian,7,4,nsubj_to_root,361,1374674,0.0002626077164476814
