language,layer,head,direction,correct,total,accuracy
english,4,0,leftward,43454,1679481,0.025873469244367755
english,4,1,nsubj_to_root,16164,1679481,0.009624401824134956
english,4,1,leftward,15674,1679481,0.009332645025457269
english,4,2,nsubj_to_root,351,1679481,0.00020899313537932254
english,4,2,leftward,302,1679481,0.00017981745551155385
english,4,3,nsubj_to_root,163,1679481,9.705379221318967e-05
english,4,3,leftward,190,1679481,0.00011313018724236832
english,4,4,nsubj_to_root,228056,1679481,0.13578956832497657
english,4,4,leftward,19866,1679481,0.011828654209246786
english,4,5,nsubj_to_root,266664,1679481,0.15877762237262583
english,4,5,leftward,164,1679481,9.76492142513074e-05
english,4,6,nsubj_to_root,88434,1679481,0.05265555251890316
english,4,6,leftward,49748,1679481,0.029621055552280735
english,4,7,nsubj_to_root,4364,1679481,0.002598421774345765
english,4,7,leftward,22307,1679481,0.01328207940429216
english,4,8,nsubj_to_root,10391,1679481,0.006187030398081312
english,4,8,leftward,24,1679481,1.4290128914825474e-05
english,4,9,nsubj_to_root,2690,1679481,0.0016016852825366883
english,4,9,leftward,2001,1679481,0.0011914394982735737
english,4,10,nsubj_to_root,3485,1679481,0.0020750458028402823
english,4,10,leftward,480502,1679481,0.28610148015964454
english,4,11,nsubj_to_root,115795,1679481,0.06894689490384232
english,4,11,leftward,8,1679481,4.763376304941824e-06
english,5,0,nsubj_to_root,106003,1679481,0.06311652230659352
english,5,0,leftward,67,1679481,3.989327655388778e-05
english,5,1,nsubj_to_root,152,1679481,9.050414979389467e-05
english,5,1,leftward,7534,1679481,0.004485909635178963
english,5,2,nsubj_to_root,8423,1679481,0.005015239827065623
english,5,2,leftward,6152,1679481,0.003663036378500263
english,5,3,nsubj_to_root,693,1679481,0.00041262747241558554
english,5,3,leftward,20705,1679481,0.012328213299227559
english,5,4,nsubj_to_root,1536,1679481,0.0009145682505488303
english,5,4,leftward,1731,1679481,0.0010306755479817873
english,5,5,nsubj_to_root,739,1679481,0.000440016886169001
english,5,5,leftward,13,1679481,7.740486495530464e-06
english,5,6,nsubj_to_root,658,1679481,0.00039178770108146507
english,5,6,leftward,11431,1679481,0.006806269317723749
english,5,7,nsubj_to_root,160240,1679481,0.09541042738798473
english,5,7,leftward,316,1679481,0.00018815336404520206
english,5,8,nsubj_to_root,84435,1679481,0.050274459788470366
english,5,8,leftward,145,1679481,8.633619552707056e-05
english,5,9,nsubj_to_root,490296,1679481,0.2919330436009696
english,5,9,leftward,44,1679481,2.6198569677180035e-05
english,5,10,nsubj_to_root,9912,1679481,0.005901823241822921
english,5,10,leftward,421388,1679481,0.2509037017983532
english,5,11,nsubj_to_root,164431,1679481,0.09790584114973613
english,5,11,leftward,69,1679481,4.1084120630123236e-05
english,6,0,nsubj_to_root,491,1679481,0.0002923522207158045
english,6,0,leftward,4011,1679481,0.002388237794890207
english,6,1,nsubj_to_root,4533,1679481,0.002699048098787661
english,6,1,leftward,127181,1679481,0.07572637022985076
english,6,2,nsubj_to_root,1397,1679481,0.000831804587250466
english,6,2,leftward,8096,1679481,0.004820536820601126
english,6,3,nsubj_to_root,1370,1679481,0.0008157281922212874
english,6,3,leftward,14647,1679481,0.008721146592310363
english,6,4,nsubj_to_root,3919,1679481,0.002333458967383376
english,6,4,leftward,87072,1679481,0.05184458770298681
english,6,5,nsubj_to_root,262498,1679481,0.15629709416182738
english,6,5,leftward,15166,1679481,0.009030170630093464
english,6,6,nsubj_to_root,141998,1679481,0.08454873856864115
english,6,6,leftward,49,1679481,2.9175679867768675e-05
english,6,7,nsubj_to_root,7733,1679481,0.004604398620764391
english,6,7,leftward,15825,1679481,0.009422553753213046
english,6,8,nsubj_to_root,393,1679481,0.0002340008609802671
