language,layer,direction,mean_attention,std_attention,median_attention
turkish,0,nsubj_to_root,0.055228520184755325,0.030478933826088905,0.04769471287727356
turkish,0,leftward,0.05592217668890953,0.029880229383707047,0.048781320452690125
turkish,1,nsubj_to_root,0.033465247601270676,0.020020464435219765,0.028564995154738426
turkish,1,leftward,0.0455486997961998,0.029639024287462234,0.03726669400930405
turkish,2,nsubj_to_root,0.047431979328393936,0.041510503739118576,0.031212270259857178
turkish,2,leftward,0.039087310433387756,0.03171633929014206,0.026741942390799522
turkish,3,nsubj_to_root,0.050215594470500946,0.05717357248067856,0.023451751098036766
turkish,3,leftward,0.05444274842739105,0.05419030785560608,0.030253110453486443
turkish,4,nsubj_to_root,0.046780917793512344,0.038277193903923035,0.03035622462630272
turkish,4,leftward,0.05325379967689514,0.041697707027196884,0.038615405559539795
turkish,5,nsubj_to_root,0.06568517535924911,0.0480104461312294,0.0528828427195549
turkish,5,leftward,0.06213041767477989,0.03854101896286011,0.05860629305243492
turkish,6,nsubj_to_root,0.04955179989337921,0.030140193179249763,0.04455786943435669
turkish,6,leftward,0.054716479033231735,0.04007882624864578,0.041686005890369415
turkish,7,nsubj_to_root,0.03535463288426399,0.0248489361256361,0.030277974903583527
turkish,7,leftward,0.04794040322303772,0.03156134486198425,0.04398242384195328
turkish,8,nsubj_to_root,0.04644739627838135,0.03717474266886711,0.0372014194726944
turkish,8,leftward,0.05462702363729477,0.04230185225605965,0.04701969772577286
turkish,9,nsubj_to_root,0.036593567579984665,0.03257691487669945,0.029498662799596786
turkish,9,leftward,0.03696649521589279,0.03602493181824684,0.026327382773160934
turkish,10,nsubj_to_root,0.02164645306766033,0.026541350409388542,0.012624824419617653
turkish,10,leftward,0.022898774594068527,0.02348996512591839,0.01701115071773529
turkish,11,nsubj_to_root,0.021573232486844063,0.02170143835246563,0.014521392993628979
turkish,11,leftward,0.013634668663144112,0.01775345578789711,0.009016157127916813
