model,direction,language,layer,head,correct,total,accuracy
bert,leftward,german,9,1,28998,1335993,0.021705202758312225
bert,leftward,german,9,2,50131,1335993,0.03752340003848076
bert,leftward,german,9,3,43375,1335993,0.03246648609638214
bert,leftward,german,9,4,55355,1335993,0.04143359884619713
bert,leftward,german,9,5,26269,1335993,0.01966252736747265
bert,leftward,german,9,6,17370,1335993,0.013001564890146255
bert,leftward,german,9,7,5784,1335993,0.004329363815486431
bert,leftward,german,9,8,658,1335993,0.0004925175453536212
bert,leftward,german,9,9,185435,1335993,0.13879938423633575
bert,leftward,german,9,10,9873,1335993,0.007390008773654699
bert,leftward,german,9,11,975,1335993,0.0007297942647710443
bert,leftward,german,10,0,2383,1335993,0.0017836919287219644
bert,leftward,german,10,1,12104,1335993,0.009059927426278591
bert,leftward,german,10,2,4813,1335993,0.0036025638692080975
bert,leftward,german,10,3,27244,1335993,0.020392322912812233
bert,leftward,german,10,4,29194,1335993,0.021851910278201103
bert,leftward,german,10,5,68468,1335993,0.05124877020716667
bert,leftward,german,10,6,1093,1335993,0.0008181180455721915
bert,leftward,german,10,7,36577,1335993,0.027378138154745102
bert,leftward,german,10,8,2759,1335993,0.0020651305094361305
bert,leftward,german,10,9,417,1335993,0.00031212737667374313
bert,leftward,german,10,10,58948,1335993,0.04412298649549484
bert,leftward,german,10,11,23,1335993,1.7215659681824036e-05
bert,leftward,german,11,0,3446,1335993,0.002579354913905263
bert,leftward,german,11,1,990,1335993,0.0007410218240693212
bert,leftward,german,11,2,64952,1335993,0.04861702024936676
bert,leftward,german,11,3,5370,1335993,0.004019482061266899
bert,leftward,german,11,4,964,1335993,0.0007215606747195125
bert,leftward,german,11,5,8290,1335993,0.006205122452229261
bert,leftward,german,11,6,439,1335993,0.00032859452767297626
bert,leftward,german,11,7,4282,1335993,0.003205106593668461
bert,leftward,german,11,8,5621,1335993,0.004207357298582792
bert,leftward,german,11,9,984,1335993,0.0007365308119915426
bert,leftward,german,11,10,1064,1335993,0.000796411361079663
bert,leftward,german,11,11,1346,1335993,0.0010074903257191181
