model,direction,language,layer,head,correct,total,accuracy
bert,leftward,russian,8,9,66706,1374674,0.04852496087551117
bert,leftward,russian,8,10,8265,1374674,0.006012334488332272
bert,leftward,russian,8,11,10899,1374674,0.007928425446152687
bert,leftward,russian,9,0,2456,1374674,0.001786605454981327
bert,leftward,russian,9,1,145,1374674,0.00010547955025685951
bert,leftward,russian,9,2,4119,1374674,0.0029963466804474592
bert,leftward,russian,9,3,46319,1374674,0.03369453549385071
bert,leftward,russian,9,4,12349,1374674,0.008983220905065536
bert,leftward,russian,9,5,1282,1374674,0.0009325847495347261
bert,leftward,russian,9,6,4365,1374674,0.0031752982176840305
bert,leftward,russian,9,7,20116,1374674,0.01463328767567873
bert,leftward,russian,9,8,1560,1374674,0.0011348144616931677
bert,leftward,russian,9,9,50,1374674,3.637226109276526e-05
bert,leftward,russian,9,10,38770,1374674,0.028203049674630165
bert,leftward,russian,9,11,1265,1374674,0.0009202181827276945
bert,leftward,russian,10,0,578,1374674,0.0004204633296467364
bert,leftward,russian,10,1,3307,1374674,0.0024056611582636833
bert,leftward,russian,10,2,8839,1374674,0.006429888308048248
bert,leftward,russian,10,3,17920,1374674,0.013035818003118038
bert,leftward,russian,10,4,1652,1374674,0.0012017394183203578
bert,leftward,russian,10,5,1552,1374674,0.001128994976170361
bert,leftward,russian,10,6,2488,1374674,0.0018098836299031973
bert,leftward,russian,10,7,29780,1374674,0.02166331745684147
bert,leftward,russian,10,8,2475,1374674,0.00180042686406523
bert,leftward,russian,10,9,22406,1374674,0.016299137845635414
bert,leftward,russian,10,10,3807,1374674,0.0027693838346749544
bert,leftward,russian,10,11,5284,1374674,0.003843820421025157
bert,leftward,russian,11,0,2506,1374674,0.0018229776760563254
bert,leftward,russian,11,1,787,1374674,0.0005724993534386158
bert,leftward,russian,11,2,2908,1374674,0.0021154105197638273
bert,leftward,russian,11,3,5627,1374674,0.004093334078788757
bert,leftward,russian,11,4,4402,1374674,0.0032022136729210615
bert,leftward,russian,11,5,696,1374674,0.0005063018761575222
bert,leftward,russian,11,6,948,1374674,0.000689618056640029
bert,leftward,russian,11,7,3740,1374674,0.0027206449303776026
bert,leftward,russian,11,8,587,1374674,0.00042701032361947
bert,leftward,russian,11,9,2390,1374674,0.0017385940300300717
bert,leftward,russian,11,10,1078,1374674,0.0007841859478503466
bert,leftward,russian,11,11,669,1374674,0.00048666083603166044
